72;88
70;72
80;72
78;72
88;72
86;88
96;88
94;96
104;92
102;104
112;100
110;112
120;108
118;120
128;116
126;128
8;124
6;8
16;4
14;16
24;12
22;24
32;20
30;32
40;28
38;40
48;36
46;48
56;44
54;56
64;52
62;64
200;60
198;200
208;196
206;208
216;204
214;216
224;212
222;224
232;220
230;232
240;228
238;240
248;236
246;248
256;244
254;256
136;252
270;272
280;268
278;280
288;276
286;266
296;268
294;280
304;266
302;278
312;300
310;312
320;274
318;320
72;110
70;72
80;68
78;80
88;76
86;88
96;86
94;96
104;96
102;104
112;74
120;110
128;116
126;128
80;68
86;72
94;96
104;92
102;104
112;80
110;94
120;92
118;120
128;116
126;128
72;124
